"","library","sample","protocol","platform","lab","batch","rep","sample_rep"
"101","P_ILM_L6_B1_D6_2","D6","P","ILM","L6","P_ILM_L6_B1",2,"D6_2"
"102","P_ILM_L6_B1_D6_3","D6","P","ILM","L6","P_ILM_L6_B1",3,"D6_3"
"103","P_ILM_L6_B1_F7_1","F7","P","ILM","L6","P_ILM_L6_B1",1,"F7_1"
"104","P_ILM_L6_B1_F7_2","F7","P","ILM","L6","P_ILM_L6_B1",2,"F7_2"
"105","P_ILM_L6_B1_F7_3","F7","P","ILM","L6","P_ILM_L6_B1",3,"F7_3"
"106","P_ILM_L6_B1_M8_1","M8","P","ILM","L6","P_ILM_L6_B1",1,"M8_1"
"107","P_ILM_L6_B1_M8_2","M8","P","ILM","L6","P_ILM_L6_B1",2,"M8_2"
"108","P_ILM_L6_B1_M8_3","M8","P","ILM","L6","P_ILM_L6_B1",3,"M8_3"
"109","P_ILM_L8_B1_D5_1","D5","P","ILM","L8","P_ILM_L8_B1",1,"D5_1"
"110","P_ILM_L8_B1_D5_2","D5","P","ILM","L8","P_ILM_L8_B1",2,"D5_2"
"111","P_ILM_L8_B1_D5_3","D5","P","ILM","L8","P_ILM_L8_B1",3,"D5_3"
"112","P_ILM_L8_B1_D6_1","D6","P","ILM","L8","P_ILM_L8_B1",1,"D6_1"
"113","P_ILM_L8_B1_D6_2","D6","P","ILM","L8","P_ILM_L8_B1",2,"D6_2"
"114","P_ILM_L8_B1_D6_3","D6","P","ILM","L8","P_ILM_L8_B1",3,"D6_3"
"115","P_ILM_L8_B1_F7_1","F7","P","ILM","L8","P_ILM_L8_B1",1,"F7_1"
"116","P_ILM_L8_B1_F7_2","F7","P","ILM","L8","P_ILM_L8_B1",2,"F7_2"
"117","P_ILM_L8_B1_F7_3","F7","P","ILM","L8","P_ILM_L8_B1",3,"F7_3"
"118","P_ILM_L8_B1_M8_1","M8","P","ILM","L8","P_ILM_L8_B1",1,"M8_1"
"119","P_ILM_L8_B1_M8_2","M8","P","ILM","L8","P_ILM_L8_B1",2,"M8_2"
"120","P_ILM_L8_B1_M8_3","M8","P","ILM","L8","P_ILM_L8_B1",3,"M8_3"
"133","R_ILM_L2_B1_D5_1","D5","R","ILM","L2","R_ILM_L2_B1",1,"D5_1"
"134","R_ILM_L2_B2_D5_1","D5","R","ILM","L2","R_ILM_L2_B2",1,"D5_1"
"135","R_ILM_L2_B1_D5_2","D5","R","ILM","L2","R_ILM_L2_B1",2,"D5_2"
"136","R_ILM_L2_B2_D5_2","D5","R","ILM","L2","R_ILM_L2_B2",2,"D5_2"
"137","R_ILM_L2_B1_D5_3","D5","R","ILM","L2","R_ILM_L2_B1",3,"D5_3"
"138","R_ILM_L2_B2_D5_3","D5","R","ILM","L2","R_ILM_L2_B2",3,"D5_3"
"139","R_ILM_L2_B1_D6_1","D6","R","ILM","L2","R_ILM_L2_B1",1,"D6_1"
"140","R_ILM_L2_B2_D6_1","D6","R","ILM","L2","R_ILM_L2_B2",1,"D6_1"
"141","R_ILM_L2_B1_D6_2","D6","R","ILM","L2","R_ILM_L2_B1",2,"D6_2"
"142","R_ILM_L2_B2_D6_2","D6","R","ILM","L2","R_ILM_L2_B2",2,"D6_2"
"143","R_ILM_L2_B1_D6_3","D6","R","ILM","L2","R_ILM_L2_B1",3,"D6_3"
"144","R_ILM_L2_B2_D6_3","D6","R","ILM","L2","R_ILM_L2_B2",3,"D6_3"
"145","R_ILM_L2_B1_F7_1","F7","R","ILM","L2","R_ILM_L2_B1",1,"F7_1"
"146","R_ILM_L2_B2_F7_1","F7","R","ILM","L2","R_ILM_L2_B2",1,"F7_1"
"147","R_ILM_L2_B1_F7_2","F7","R","ILM","L2","R_ILM_L2_B1",2,"F7_2"
"148","R_ILM_L2_B2_F7_2","F7","R","ILM","L2","R_ILM_L2_B2",2,"F7_2"
"149","R_ILM_L2_B1_F7_3","F7","R","ILM","L2","R_ILM_L2_B1",3,"F7_3"
"150","R_ILM_L2_B2_F7_3","F7","R","ILM","L2","R_ILM_L2_B2",3,"F7_3"
"151","R_ILM_L2_B1_M8_1","M8","R","ILM","L2","R_ILM_L2_B1",1,"M8_1"
"152","R_ILM_L2_B2_M8_1","M8","R","ILM","L2","R_ILM_L2_B2",1,"M8_1"
"153","R_ILM_L2_B1_M8_2","M8","R","ILM","L2","R_ILM_L2_B1",2,"M8_2"
"154","R_ILM_L2_B2_M8_2","M8","R","ILM","L2","R_ILM_L2_B2",2,"M8_2"
"155","R_ILM_L2_B1_M8_3","M8","R","ILM","L2","R_ILM_L2_B1",3,"M8_3"
"156","R_ILM_L2_B2_M8_3","M8","R","ILM","L2","R_ILM_L2_B2",3,"M8_3"
"241","R_ILM_L8_B1_D5_1","D5","R","ILM","L8","R_ILM_L8_B1",1,"D5_1"
"242","R_ILM_L8_B1_D5_2","D5","R","ILM","L8","R_ILM_L8_B1",2,"D5_2"
"243","R_ILM_L8_B1_D5_3","D5","R","ILM","L8","R_ILM_L8_B1",3,"D5_3"
"244","R_ILM_L8_B1_D6_1","D6","R","ILM","L8","R_ILM_L8_B1",1,"D6_1"
"245","R_ILM_L8_B1_D6_2","D6","R","ILM","L8","R_ILM_L8_B1",2,"D6_2"
"246","R_ILM_L8_B1_D6_3","D6","R","ILM","L8","R_ILM_L8_B1",3,"D6_3"
"247","R_ILM_L8_B1_F7_1","F7","R","ILM","L8","R_ILM_L8_B1",1,"F7_1"
"248","R_ILM_L8_B1_F7_2","F7","R","ILM","L8","R_ILM_L8_B1",2,"F7_2"
"249","R_ILM_L8_B1_F7_3","F7","R","ILM","L8","R_ILM_L8_B1",3,"F7_3"
"250","R_ILM_L8_B1_M8_1","M8","R","ILM","L8","R_ILM_L8_B1",1,"M8_1"
"251","R_ILM_L8_B1_M8_2","M8","R","ILM","L8","R_ILM_L8_B1",2,"M8_2"
"252","R_ILM_L8_B1_M8_3","M8","R","ILM","L8","R_ILM_L8_B1",3,"M8_3"
